,min,max,default
energy_treatment_natural_gas_share,0.0,100.0,100.0
energy_regasification_lng_share,0.0,100.0,0.0
share_of_molecules_transport_ships_co2,0.0,100.0,50.0
share_of_molecules_transport_pipelines_co2,0.0,100.0,50.0
demand_of_molecules_offshore_sequestration_co2,0.0,41.95,0.0
demand_of_molecules_other_utilisation_co2,0.0,7.074759,0.0
output_of_energy_production_synthetic_kerosene,0.0,158.36902,0.0
output_of_energy_production_synthetic_methanol,0.0,50.0,0.0
share_of_energy_power_combined_cycle_ccs_coal,0.0,100.0,0.0
share_of_industry_steel_captured_co2,0.0,100.0,0.0
share_of_energy_hydrogen_steam_methane_reformer_ccs,0.0,100.0,0.0
share_of_energy_power_combined_cycle_ccs_network_gas,0.0,100.0,0.0
share_of_industry_chemicals_fertilizers_captured_processes_co2,0.0,100.0,65.0
share_of_industry_other_food_captured_co2,0.0,100.0,0.0
share_of_industry_other_paper_captured_co2,0.0,100.0,0.0
share_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,100.0,0.0
demand_of_molecules_direct_air_capture_co2,0.0,7.074759,0.0
share_of_energy_hydrogen_biomass_gasification_ccs,0.0,100.0,0.0
share_of_industry_chemicals_fertilizers_captured_combustion_co2,0.0,100.0,0.0
share_of_energy_power_ultra_supercritical_ccs_coal,0.0,100.0,0.0
energy_mixer_for_gas_power_fuel_bio_oil_share,0.0,100.0,0.0
energy_mixer_for_gas_power_fuel_natural_gas_share,0.0,100.0,100.0
energy_mixer_for_gas_power_fuel_crude_oil_share,0.0,100.0,0.0
capacity_of_energy_power_ultra_supercritical_lignite,0.0,897.3693560506312,0.0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0.0,799.9226273865414,0.0
capacity_of_energy_power_ultra_supercritical_coal,0.0,799.9226273865414,0.0
capacity_of_energy_power_supercritical_coal,0.0,1032.6273917171718,0.0
capacity_of_energy_power_combined_cycle_coal,0.0,757.2600872592593,0.0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0.0,709.9313318055555,0.0
capacity_of_energy_chp_ultra_supercritical_coal,0.0,709.9313318055555,0.0
capacity_of_energy_chp_ultra_supercritical_lignite,0.0,1262.1001454320988,0.0
capacity_of_energy_power_turbine_network_gas,0.0,757.2600872592593,0.0
capacity_of_energy_power_ultra_supercritical_network_gas,0.0,1234.663185748792,0.0
capacity_of_energy_power_engine_network_gas,0.0,5679450.654444444,0.0
capacity_of_energy_chp_combined_cycle_network_gas,0.0,1534.9866633633633,0.0
capacity_of_energy_chp_local_engine_network_gas,0.0,1689.8097751991802,50.410134219313036
capacity_of_energy_power_combined_cycle_network_gas,0.0,2912.538797150997,0.0
capacity_of_energy_power_ultra_supercritical_crude_oil,0.0,1419.862663611111,0.0
capacity_of_energy_power_engine_diesel,0.0,1419.862663611111,0.0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0.0,728.1346992877493,0.0
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,0.0,1.0,0.0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0.0,709.9313318055555,0.0
capacity_of_energy_chp_supercritical_waste_mix,0.0,1135.890130888889,0.0
capacity_of_energy_power_supercritical_waste_mix,0.0,1385.2318669376693,0.0
capacity_of_energy_power_wind_turbine_coastal,0.0,9.36,0.0
capacity_of_energy_power_wind_turbine_offshore,0.0,75000.0,0.0
capacity_of_energy_power_wind_turbine_inland,0.0,22312.8,38.62847222222223
capacity_of_energy_power_geothermal,0.0,709.9313318055555,0.0
capacity_of_energy_power_turbine_hydrogen,0.0,11358.901308888888,0.0
capacity_of_energy_power_combined_cycle_hydrogen,0.0,2912.538797150997,0.0
capacity_of_energy_chp_local_engine_biogas,0.0,709.9313318055555,2.319001180555555
capacity_of_energy_chp_local_wood_pellets,0.0,946.5751090740741,0.0
capacity_of_energy_power_hydro_river,0.0,2258.230876518666,0.0
capacity_of_energy_power_hydro_mountain,0.0,1411.3942978241662,0.0
capacity_of_energy_power_solar_csp_solar_radiation,0.0,6550.692796360374,0.0
capacity_of_energy_power_solar_pv_solar_radiation,0.0,148752.0,3.2167115212097914
fuel_production_coal,0.0,100.39500478755868,0.0
fuel_production_crude_oil,0.0,100.39500478755868,0.0
fuel_production_natural_gas,0.0,100.39500478755868,0.0
fuel_production_uranium_oxide,0.0,100.39500478755868,0.0
fuel_production_lignite,0.0,100.39500478755868,0.0
capacity_of_energy_hydrogen_steam_methane_reformer,0.0,1283.286545488345,0.0
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0.0,148752.0,0.0
capacity_of_energy_hydrogen_wind_turbine_offshore,0.0,75000.0,0.0
capacity_of_energy_hydrogen_biomass_gasification,0.0,1220.782482389978,0.0
capacity_of_energy_imported_hydrogen_baseload,0.0,1098.7042341509803,0.0
co2_emissions_of_imported_hydrogen_present,0.0,1500.0,280.8
co2_emissions_of_imported_hydrogen_future,0.0,1500.0,280.8
energy_transport_hydrogen_pipelines_share,0.0,100.0,99.0
energy_transport_hydrogen_compressed_trucks_share,0.0,100.0,1.0
energy_greengas_gasification_wet_biomass_share,0.0,100.0,0.0
energy_greengas_gasification_dry_biomass_share,0.0,100.0,0.0
energy_biogas_fermentation_share,0.0,100.0,100.0
max_demand_of_wet_biomass,0.0,22.191883599149502,4.634434723
max_demand_of_oily_biomass,0.0,22.191883599149502,0.815445324
max_demand_of_biogenic_waste,0.0,22.191883599149502,1.611879922574751
max_demand_of_dry_biomass,0.0,22.191883599149502,4.03418183
co_firing_biocoal_share,0.0,100.0,0.0
co_firing_coal_share,0.0,100.0,100.0
green_gas_total_share,0.0,100.0,0.39431649588816936
natural_gas_total_share,0.0,100.0,99.60568350411182
capacity_of_industry_chp_turbine_gas_power_fuelmix,0.0,594.8700500260417,0.0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0.0,643.1106876267679,0.0
capacity_of_industry_chp_engine_gas_power_fuelmix,0.0,1464.2955077564104,0.0
capacity_of_industry_heat_well_geothermal,0.0,271.94059429761904,0.0
capacity_of_industry_heat_burner_coal,0.0,869.2165114535769,0.0
capacity_of_industry_chp_ultra_supercritical_coal,0.0,423.0187022407407,0.0
capacity_of_industry_heat_burner_lignite,0.0,869.2165114535769,0.0
capacity_of_industry_chp_wood_pellets,0.0,317.26402668055556,0.0
capacity_of_industry_heat_burner_crude_oil,0.0,869.2165114535769,0.0
capacity_of_energy_heat_solar_thermal,0.0,7456.645408598005,0.0
energy_heat_distribution_loss_share,0.0,50.0,0.0
volume_of_imported_heat,0.0,18.361243654131727,0.0
capacity_of_energy_heat_burner_hydrogen,0.0,2328.9248673429383,0.0
share_of_industry_other_ict_reused_residual_heat,0.0,100.0,0.0
heat_storage_enabled,0.0,1.0,0.0
share_of_industry_chemicals_fertilizers_reused_residual_heat,0.0,100.0,0.0
capacity_of_energy_heat_burner_waste_mix,0.0,2328.9248673429383,0.0
energy_heat_network_storage_output_capacity_share,0.0,300.0,300.0
share_of_industry_chemicals_other_reused_residual_heat,0.0,100.0,0.0
capacity_of_energy_heat_heatpump_water_water_electricity,0.0,784.6685322278515,11.367521367521368
energy_heat_network_storage_loss_share,0.0,50.0,30.000006804802226
capacity_of_energy_heat_burner_wood_pellets,0.0,2328.9248673429383,10.400811770674787
capacity_of_energy_heat_burner_crude_oil,0.0,2328.9248673429383,0.0
capacity_of_energy_heat_burner_coal,0.0,2328.9248673429383,0.0
capacity_of_energy_heat_well_geothermal,0.0,850.0575765801724,0.0
co2_emissions_of_imported_heat,0.0,100.0,35.97
share_of_industry_chemicals_refineries_reused_residual_heat,0.0,100.0,0.0
capacity_of_energy_heat_burner_network_gas,0.0,2328.9248673429383,0.0
climate_relevant_co2_biomass_gas_present,0.0,100.0,0.0
climate_relevant_co2_biomass_solid_present,0.0,100.0,0.0
climate_relevant_co2_biomass_gas_future,0.0,100.0,0.0
climate_relevant_co2_biomass_liquid_present,0.0,100.0,0.0
climate_relevant_co2_biomass_liquid_future,0.0,100.0,0.0
climate_relevant_co2_biomass_solid_future,0.0,100.0,0.0
flh_of_energy_power_ultra_supercritical_ccs_coal,,,
flh_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,,,
flh_of_energy_power_combined_cycle_ccs_network_gas,,,
flh_of_energy_power_combined_cycle_network_gas,,,
flh_of_energy_power_wind_turbine_coastal_user_curve,0.0,8760.0,2550.0
flh_of_energy_power_wind_turbine_offshore_user_curve,0.0,8760.0,3500.0
flh_of_energy_power_nuclear_gen3_uranium_oxide,,,
flh_of_energy_power_engine_diesel,,,
flh_of_energy_power_wind_turbine_inland,1920.0,3500.0,1920.0
flh_of_energy_power_wind_turbine_coastal,2550.0,4500.0,2550.0
flh_of_energy_power_wind_turbine_inland_user_curve,0.0,8760.0,1920.0
flh_of_energy_power_ultra_supercritical_lignite,,,
flh_of_energy_power_combined_cycle_ccs_coal,,,
flh_of_energy_power_ultra_supercritical_network_gas,,,
flh_of_hydro_river,,,
flh_of_energy_chp_ultra_supercritical_coal,,,
flh_of_energy_hydrogen_wind_turbine_offshore,4000.0,6500.0,4000.0
flh_of_geothermal_heat,,,
flh_of_energy_chp_ultra_supercritical_cofiring_coal,,,
flh_of_energy_power_wind_turbine_offshore,3500.0,6500.0,3500.0
flh_of_energy_power_ultra_supercritical_coal,,,
flh_of_solar_thermal,,,
flh_of_energy_chp_ultra_supercritical_lignite,,,
flh_of_energy_power_engine_network_gas,,,
flh_of_energy_power_supercritical_waste_mix,,,
flh_of_energy_power_supercritical_coal,,,
flh_of_solar_pv_solar_radiation_user_curve,0.0,8760.0,867.0
flh_of_energy_heater_for_heat_network_waste_mix,,,
flh_of_energy_chp_combined_cycle_network_gas,,,
flh_of_energy_power_nuclear_gen2_uranium_oxide,,,
flh_of_energy_power_turbine_network_gas,,,
flh_of_energy_power_ultra_supercritical_cofiring_coal,,,
flh_of_energy_power_combined_cycle_coal,,,
flh_of_energy_power_ultra_supercritical_crude_oil,,,
flh_of_energy_chp_supercritical_waste_mix,,,
flh_of_solar_pv_solar_radiation,867.0,1361.35634547,867.0
co2_emission_1990,0.0,0.0,0.0
offshore_suitable_for_wind,0.0,0.0,0.0
number_of_inhabitants_present,0.0,0.0,0.0
co2_emission_1990_aviation_bunkers,0.0,0.0,0.0
co2_emission_1990_marine_bunkers,0.0,0.0,0.0
buildings_roof_surface_available_for_pv,0.0,0.0,0.0
areable_land,0.0,0.0,0.0
number_of_inhabitants,0.0,0.0,0.0
number_of_buildings_both,0.0,0.0,0.0
coast_line,0.0,0.0,0.0
number_of_buildings_present,0.0,0.0,0.0
residences_roof_surface_available_for_pv,0.0,0.0,0.0
number_of_residences,0.0,0.0,0.0
flexibility_outdoor_temperature,-5.0,5.0,0.0
settings_satisfy_export_with_dispatchables,0.0,1.0,0.0
electricity_interconnector_4_export_availability,0.0,100.0,100.0
electricity_interconnector_4_co2_emissions_present,0.0,1000.0,430.00034400000004
electricity_interconnector_4_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_4_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_4_capacity,0.0,600000.0,0.0
electricity_interconnector_4_import_availability,0.0,100.0,100.0
electricity_interconnector_6_import_availability,0.0,100.0,100.0
electricity_interconnector_6_capacity,0.0,600000.0,0.0
electricity_interconnector_6_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_6_export_availability,0.0,100.0,100.0
electricity_interconnector_6_co2_emissions_present,0.0,1000.0,430.00034400000004
electricity_interconnector_6_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_2_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_2_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_2_import_availability,0.0,100.0,100.0
electricity_interconnector_2_export_availability,0.0,100.0,100.0
electricity_interconnector_2_capacity,0.0,600000.0,0.0
electricity_interconnector_2_co2_emissions_present,0.0,1000.0,430.00034400000004
electricity_interconnector_5_export_availability,0.0,100.0,100.0
electricity_interconnector_5_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_5_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_5_capacity,0.0,600000.0,0.0
electricity_interconnector_5_co2_emissions_present,0.0,1000.0,430.00034400000004
electricity_interconnector_5_import_availability,0.0,100.0,100.0
electricity_interconnector_1_export_availability,0.0,100.0,100.0
electricity_interconnector_1_capacity,0.0,600000.0,60000.0
electricity_interconnector_1_co2_emissions_present,0.0,1000.0,430.00034400000004
electricity_interconnector_1_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_1_import_availability,0.0,100.0,100.0
electricity_interconnector_1_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_3_capacity,0.0,600000.0,0.0
electricity_interconnector_3_co2_emissions_future,0.0,1000.0,430.00034400000004
electricity_interconnector_3_export_availability,0.0,100.0,100.0
electricity_interconnector_3_marginal_costs,0.0,500.0,34.999999999999204
electricity_interconnector_3_import_availability,0.0,100.0,100.0
electricity_interconnector_3_co2_emissions_present,0.0,1000.0,430.00034400000004
transport_car_using_electricity_fast_charging_share,0.0,100.0,0.0
transport_car_using_electricity_hybrid_charging_share,0.0,100.0,100.0
transport_car_using_electricity_regular_charging_share,0.0,100.0,0.0
transport_car_using_electricity_availability,0.0,100.0,0.0
transport_car_using_electricity_home_charging_share,0.0,100.0,0.0
transport_car_using_electricity_smart_charging_share,0.0,100.0,0.0
curtailment_of_energy_power_solar_pv_solar_radiation,0.0,100.0,0.0
curtailment_of_buildings_solar_pv_solar_radiation,0.0,100.0,0.0
curtailment_of_households_solar_pv_solar_radiation,0.0,100.0,0.0
households_flexibility_p2p_electricity_market_penetration,0.0,100.0,0.0
households_flexibility_consumer_electricity_price,10.0,30.0,22.5
households_flexibility_space_heating_cop_cutoff,1.0,6.0,2.6
households_flexibility_consumer_gas_price,70.0,95.0,81.4
households_flexibility_water_heating_cop_cutoff,1.0,6.0,6.0
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,0.0,2328.9248673429383,0.0
capacity_of_energy_heat_flexibility_p2h_heatpump_electricity,0.0,784.6685322278515,0.0
capacity_of_energy_hydrogen_flexibility_p2g_electricity,0.0,75000.0,0.0
capacity_of_energy_flexibility_pumped_storage_electricity,0.0,3890.0346948249617,0.0
capacity_of_energy_flexibility_hv_opac_electricity,0.0,3890.0346948249617,0.0
capacity_of_energy_flexibility_mv_batteries_electricity,0.0,3890.0346948249617,0.0
investment_costs_water_mountains,-100.0,300.0,0.0
efficiency_energy_power_supercritical_waste_mix,15.0,35.0,25.0
om_costs_combustion_oil_plant,-100.0,300.0,0.0
investment_costs_hydrogen_electrolysis,-100.0,300.0,0.0
efficiency_buildings_space_heater_crude_oil,70.0,100.0,85.0
efficiency_buildings_space_heater_wood_pellets,72.0,92.0,82.0
efficiency_energy_power_ultra_supercritical_network_gas,30.0,50.0,40.0
costs_wacc_public_infrastructure,0.0,15.0,3.0
om_costs_combustion_waste_incinerator,-100.0,300.0,0.0
costs_hydrogen_transport_pipelines,0.0,100.0,1.5706418061897514
efficiency_energy_power_combined_cycle_coal,35.300000000000004,55.300000000000004,45.300000000000004
efficiency_energy_chp_combined_cycle_network_gas_electricity,36.0,56.0,46.0
efficiency_buildings_space_heater_combined_hydrogen,90.0,118.0,108.6956522
investment_costs_power_to_gas,-100.0,300.0,0.0
investment_costs_electric_heat_pumps,-100.0,300.0,0.0
om_costs_water_river,-100.0,300.0,0.0
investment_costs_geothermal,-100.0,300.0,0.0
investment_costs_solar_solar_panels,-100.0,300.0,0.0
om_costs_co2_storage,-100.0,300.0,0.0
costs_bio_ethanol,0.0,10.0,0.9482455179824159
efficiency_energy_power_engine_network_gas,38.0,58.0,48.0
efficiency_energy_chp_local_engine_network_gas_heat,37.0,57.0,47.0
om_costs_nuclear_nuclear_plant,-100.0,300.0,0.0
efficiency_energy_chp_ultra_supercritical_coal_electricity,30.0,50.0,40.0
investment_costs_solar_thermal,-100.0,300.0,0.0
investment_costs_wind_onshore,-100.0,300.0,0.0
efficiency_energy_power_supercritical_coal,26.0,46.0,36.0
investment_costs_combustion_coal_plant,-100.0,300.0,0.0
investment_costs_nuclear_nuclear_plant,-100.0,300.0,0.0
efficiency_energy_power_ultra_supercritical_cofiring_coal,32.0,52.0,42.0
efficiency_energy_chp_supercritical_waste_mix_electricity,17.0,37.0,27.0
costs_hydrogen_transport_compressed_trucks,0.0,100.0,50.08226477935054
costs_infrastructure_electricity_mv_hv_trafo,0.0,1500.0,250.0
investment_costs_energy_flexibility_mv_batteries_electricity,-100.0,300.0,0.0
investment_costs_co2_capture_industry,-100.0,300.0,0.0
om_costs_water_mountains,-100.0,300.0,0.0
efficiency_households_space_heater_hybrid_heatpump_air_water_electricity,0.0,200.0,100.0
costs_uranium,0.0,800.0,69.10000000000218
costs_greengas,0.0,200.0,63.56999879999999
investment_costs_water_river,-100.0,300.0,0.0
om_costs_co2_ccs,-100.0,300.0,0.0
costs_wacc_unproven_technologies,0.0,15.0,7.0
investment_costs_co2_utilisation,-100.0,300.0,0.0
costs_industry_residual_heat,-100.0,300.0,0.0
efficiency_households_space_heater_combined_hydrogen,90.0,118.0,110.00000000000001
costs_hydrogen,0.0,200.0,60.163012800000004
investment_costs_energy_flexibility_hv_opac_electricity,-100.0,300.0,0.0
efficiency_energy_power_combined_cycle_network_gas,50.0,70.0,60.0
efficiency_energy_power_nuclear_gen2_uranium_oxide,22.0,42.0,32.0
investment_costs_electric_cars,0.0,25000.0,0.0
efficiency_hydrogen_electrolysis,56.0,76.0,66.0
costs_heat_network_storage,0.0,200.0,43.2
investment_costs_combustion_waste_incinerator,-100.0,300.0,0.0
om_costs_geothermal,-100.0,300.0,0.0
costs_biodiesel,0.0,10.0,0.9588091404958679
investment_costs_combustion_biomass_plants,-100.0,300.0,0.0
efficiency_energy_power_turbine_network_gas,24.0,44.0,34.0
costs_heat_infra_indoors,0.0,300.0,100.0
investment_costs_combustion_gas_plant,-100.0,300.0,0.0
investment_costs_co2_storage,-100.0,300.0,0.0
efficiency_households_space_heater_network_gas,60.0,100.0,80.0
investment_costs_combustion_hydrogen_plant,-100.0,300.0,0.0
costs_infrastructure_electricity_lv_mv_trafo,0.0,1500.0,200.0
efficiency_energy_chp_ultra_supercritical_cofiring_coal_electricity,27.0,47.0,37.0
efficiency_energy_chp_local_engine_network_gas_electricity,33.0,53.0,43.0
efficiency_households_space_heater_combined_network_gas,90.0,111.0,107.0
om_costs_co2_utilisation,-100.0,300.0,0.0
costs_infrastructure_electricity_hv_net,0.0,1500.0,364.0
costs_coal,0.0,500.0,83.50712518132947
om_costs_combustion_biomass_plant,-100.0,300.0,0.0
investment_costs_co2_ccs,-100.0,300.0,0.0
om_costs_co2_transport,-100.0,300.0,0.0
efficiency_households_space_heater_electricity,90.0,100.0,100.0
efficiency_buildings_space_heater_network_gas,90.0,111.0,106.69999999999999
investment_costs_electric_boilers,-100.0,300.0,0.0
investment_costs_co2_transport,-100.0,300.0,0.0
costs_imported_heat,0.0,500.0,11.56944444444
costs_infrastructure_electricity_mv_net,0.0,1500.0,690.0
investment_costs_combustion_oil_plant,-100.0,300.0,0.0
efficiency_energy_chp_local_engine_biogas_heat,37.0,57.0,47.0
efficiency_households_space_heater_heatpump_air_water_electricity,0.0,200.0,100.0
costs_wacc_households,0.0,15.0,2.0
investment_costs_wind_offshore,-100.0,300.0,0.0
costs_co2,0.0,3500.0,7.8
investment_costs_households_flexibility_p2p_electricity,-100.0,300.0,0.0
